Secs,IMUok,IMUcal,roll,pitch,yaw,accLong,accTrans,accVert,DVLok,Vbow,Vstar,Vport,Vstern,Rbow,Rstar,Rport,Rstern,Sbow,Sstar,Sport,Sstern
0.050000,0,x,-1.251625,-2.977351,196.758798,0.950000,0.120000,-0.070000,-0.070000,-0.042913,0.021633,0.005652,0.007742,1.198615,1.241423,1.227154,1.255692,L,L,L,L,
0.050000,0,x,-1.239263,-3.084913,197.460258,1.070000,-0.410000,-0.170000,-0.170000,-0.069845,0.045946,0.014700,0.056427,1.198615,1.241423,1.255692,1.255692,L,L,L,L,
0.050000,0,x,-1.194920,-3.287469,198.212357,0.150000,-0.180000,-0.150000,-0.150000,-0.070377,0.021499,-0.022997,0.041566,1.198615,1.255692,1.255692,1.241423,L,L,L,L,
0.050000,0,x,-1.138729,-3.381179,198.928352,0.590000,-0.160000,-0.180000,-0.180000,-0.076122,0.038254,0.030913,0.004616,1.241423,1.255692,1.255692,1.227154,L,L,L,L,
0.050000,0,x,-1.050164,-3.483742,199.687118,0.850000,-0.250000,-0.250000,-0.250000,0.045938,0.091106,0.090246,0.119352,3.866962,1.227154,4.780192,1.255692,L,L,L,L,
0.050000,0,x,-0.974656,-3.496090,200.501741,0.550000,-0.130000,-0.150000,-0.150000,-0.160235,0.031450,-0.012261,0.059717,1.184346,1.198615,1.241423,1.255692,L,L,L,L,
0.050000,0,x,-0.880704,-3.568108,201.310586,0.250000,-0.060000,-0.160000,-0.160000,-0.226917,0.048735,0.002908,0.155075,3.781346,1.198615,1.212885,1.241423,L,L,L,L,
0.050000,0,x,-0.850082,-3.429592,202.048369,0.530000,-0.250000,-0.330000,-0.330000,-0.081695,0.053071,-0.013803,-0.037430,1.241423,1.241423,1.255692,6.592384,L,L,L,L,
0.050000,0,x,-0.762912,-3.443006,202.759446,0.490000,-0.190000,-0.160000,-0.160000,-0.126639,0.061309,0.077864,0.181048,1.198615,1.227154,2.711154,1.241423,L,L,L,L,
0.050000,0,x,-0.695843,-3.495435,203.472750,0.450000,-0.120000,-0.070000,-0.070000,-0.097368,0.069269,0.077864,0.107990,1.212885,1.241423,2.425769,1.241423,L,L,-,L,
0.050000,0,x,-0.725181,-3.331292,204.157327,0.790000,-0.330000,-0.280000,-0.280000,-0.105851,0.031808,-0.037691,0.231214,1.212885,1.255692,1.212885,1.255692,L,L,L,L,
0.050000,0,x,-0.691896,-3.368065,204.808530,1.240000,-0.520000,-0.520000,-0.520000,-0.101904,0.116919,0.003601,0.147959,1.227154,1.269961,1.241423,1.241423,L,L,L,L,
0.050000,0,x,-0.786038,-3.282825,205.462658,0.970000,-0.470000,-0.240000,-0.240000,-0.146791,0.106132,-0.055396,0.201974,1.212885,1.241423,1.255692,1.241423,L,L,L,L,
0.050000,0,x,-0.798762,-3.366645,206.132289,0.060000,-0.260000,-0.120000,-0.120000,-0.159914,0.154915,-0.053908,0.074904,1.212885,1.269961,1.241423,1.227154,L,L,L,L,
0.050000,0,x,-0.797821,-3.215752,206.676109,-0.510000,0.500000,-0.320000,-0.320000,-0.145076,0.154915,-0.024452,0.192918,1.184346,2.482846,1.227154,1.269961,L,-,L,L,
0.050000,0,x,-0.836910,-2.908312,207.190969,0.260000,-0.120000,-0.330000,-0.330000,-0.111924,0.154465,-0.017968,0.169628,1.198615,1.255692,1.241423,1.269961,L,L,L,L,
0.050000,0,x,-0.763421,-2.874270,207.606326,-0.190000,-0.020000,0.330000,0.330000,-0.173562,0.138854,0.014515,0.165418,1.198615,1.269961,1.227154,1.269961,L,L,L,L,
0.050000,0,x,-0.688587,-2.852905,207.950486,-0.460000,0.160000,0.570000,0.570000,-0.099262,0.128057,-0.089438,0.158900,1.198615,1.269961,1.227154,1.255692,L,L,L,L,
0.050000,0,x,-0.699198,-2.642317,208.214172,-0.090000,-0.340000,0.180000,0.180000,-0.112559,0.140837,-0.057637,0.168544,1.198615,1.255692,1.269961,1.298500,L,L,L,L,
0.050000,0,x,-0.725321,-2.527761,208.343003,0.530000,-0.350000,-0.450000,-0.450000,-0.080854,0.098267,-0.106839,-0.172731,1.198615,1.269961,1.227154,2.425769,L,L,L,L,
0.050000,0,x,-0.795373,-2.669665,208.455851,0.570000,-0.370000,-0.450000,-0.450000,-0.052965,0.089680,-0.061564,0.166429,1.198615,1.227154,1.255692,1.241423,L,L,L,L,
0.050000,0,x,-0.793725,-2.980794,208.546228,-0.710000,0.280000,-0.000000,-0.000000,-0.142379,0.097396,-0.050729,0.215282,1.227154,1.241423,1.227154,1.269961,L,L,L,L,
0.050000,0,x,-0.862043,-2.927709,208.669773,-0.050000,-0.290000,-0.060000,-0.060000,-0.140068,0.023699,-0.015418,0.204181,1.227154,1.255692,1.212885,1.269961,L,L,L,L,
0.050000,0,x,-0.897081,-2.888532,208.836675,0.070000,-0.460000,-0.290000,-0.290000,-0.137387,0.097259,-0.027266,0.169447,1.212885,1.255692,1.212885,1.241423,L,L,L,L,
0.050000,0,x,-0.793909,-3.115676,208.895073,-0.590000,0.060000,-0.230000,-0.230000,-0.127913,0.157096,0.046871,0.362994,1.255692,1.255692,1.184346,1.198615,L,L,L,L,
0.050000,0,x,-0.747008,-3.148106,208.987336,0.110000,-0.370000,-0.030000,-0.030000,-0.150829,0.164082,0.044324,0.223380,1.227154,1.227154,1.327039,1.212885,L,L,L,L,
0.050000,0,x,-0.719892,-3.048358,209.079284,0.050000,-0.220000,-0.000000,-0.000000,0.132325,0.123479,-0.089985,0.009819,2.440038,1.255692,1.227154,1.227154,L,L,L,L,
